ID,新闻标题,发布时间,新闻链接
1,习近平对基础教育工作作出重要指示,2026-07-22,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm
2,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,2026-07-21,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm
3,国家主席习近平任免驻外大使,2026-07-20,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm
4,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,2026-07-19,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm
5,习近平对重庆彭水县山体崩塌作出重要指示,2026-07-17,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm
6,习近平会见联合国秘书长古特雷斯,2026-07-17,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm
7,习近平会见柬埔寨首相洪玛奈,2026-07-17,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm
8,习近平会见泰国总理阿努廷,2026-07-17,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm
9,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,2026-07-17,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm
10,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,2026-07-17,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm
11,习近平宣布中国支持全球人工智能发展重大举措,2026-07-17,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm
12,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,2026-07-17,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm
13,习近平会见哈萨克斯坦总统托卡耶夫,2026-07-16,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm
